model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,count_negative,count_positive,mean_negative,mean_positive,median_negative,median_positive,median_gap_positive_minus_negative
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,0,212711.0,456.0,0.99244326,0.99350554,0.99984205,0.9999815,0.00013947487
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,1,76261.0,115.0,0.9908758,0.9999801,0.9999175,0.99998355,6.604195e-05
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,2,671.0,6.0,0.9999215,0.999988,0.99996245,0.99998885,2.6404858e-05
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,3,8.0,,0.9999869,,0.99998796,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,4,,3.0,,0.9999888,,0.9999888,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,0,212106.0,458.0,0.9928553,0.9936558,0.99977094,0.9999745,0.00020354986
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,1,73161.0,67.0,0.9903005,0.99997085,0.9998635,0.99997914,0.00011563301
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,2,3808.0,49.0,0.9996617,0.9999806,0.9998792,0.9999832,0.000104010105
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,3,570.0,4.0,0.9999134,0.99998397,0.99995744,0.99998504,2.759695e-05
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,4,6.0,,0.99998516,,0.999987,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,5,,2.0,,0.9999888,,0.9999888,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,0,317210.0,9.0,0.033902455,0.6588158,0.00048063614,0.63769287,0.6372122
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,1,4320.0,36.0,0.20542088,0.84302926,0.037345525,0.9820153,0.9446698
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,2,725.0,451.0,0.34386283,0.9498425,0.07212733,0.9954372,0.92330986
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,3,3.0,1.0,0.9967313,0.9998745,0.9967313,0.9998745,0.0031431913
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,4,,855.0,,0.99996305,,0.99996305,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_changed,all_pairs,0,351033.0,13.0,0.060928468,0.5617309,0.0017692423,0.62592804,0.6241588
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_changed,all_pairs,1,4305.0,48.0,0.30121607,0.938381,0.09573791,0.9781406,0.88240266
