model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,target,count,mean,median,q10,q25,q75,q90,min,max
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,1,False,2041,0.24522057,0.05840687,0.0004849191,0.005380315,0.42121398,0.8413849,9.4395983e-07,0.99904877
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,1,True,27,0.9821869,0.9978199,0.9512091,0.99013114,0.9993162,0.99979883,0.85015804,0.99996805
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,2,False,181,0.5606677,0.63487893,0.019780518,0.15499002,0.92915195,0.9859957,0.000116543335,0.99931395
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,2,True,48,0.9955178,0.9998038,0.9942265,0.9993283,0.99991846,0.9999577,0.8427424,0.99997914
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,3,False,1,0.9999343,0.9999343,0.9999343,0.9999343,0.9999343,0.9999343,0.9999343,0.9999343
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,3,True,28,0.99962485,0.9999343,0.9988718,0.9997757,0.9999691,0.99997765,0.99662447,0.9999831
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,4,False,1,0.9999869,0.9999869,0.9999869,0.9999869,0.9999869,0.9999869,0.9999869,0.9999869
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,fodors_zagats,cross_source,4,True,6,0.99998254,0.9999826,0.99998045,0.9999811,0.999984,0.9999845,0.99998,0.99998486
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,0,False,271911,0.82662225,0.98825014,0.17410396,0.8533591,0.99811316,0.9994543,9.503219e-06,0.9999902
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,0,True,77,0.98565227,0.9999502,0.95630044,0.99982685,0.99997365,0.99998194,0.76088166,0.99998915
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,1,False,15869,0.84572166,0.9952312,0.2562654,0.88549775,0.9994381,0.9998393,5.9791542e-05,0.99998975
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,1,True,257,0.9650821,0.9999666,0.963429,0.99986553,0.9999809,0.99998546,0.08331958,0.9999893
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,2,False,938,0.9057584,0.9973826,0.6717291,0.9574688,0.99977857,0.99994415,0.0019372765,0.9999894
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,2,True,188,0.9732581,0.9999813,0.9955207,0.99996877,0.99998486,0.9999864,0.02847286,0.99998915
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,3,False,62,0.9666866,0.9998454,0.90213686,0.99578756,0.9999765,0.9999837,0.3460838,0.9999877
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,3,True,52,0.99867636,0.9999833,0.9999646,0.99997854,0.99998784,0.9999889,0.9366687,0.9999894
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,4,False,5,0.9999011,0.9999143,0.9998225,0.99989426,0.99993443,0.9999665,0.99977463,0.99998784
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,walmart_amazon,cross_source,4,True,6,0.9937821,0.9999889,0.9813675,0.9999857,0.9999896,0.99998987,0.9627503,0.99999
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,0,False,212711,0.99244326,0.99984205,0.99880207,0.9995931,0.99992466,0.99995565,0.00033634395,0.9999893
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,0,True,456,0.99350554,0.9999815,0.9999544,0.9999745,0.99998605,0.9999876,0.008840008,0.99999034
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,1,False,76261,0.9908758,0.9999175,0.9995833,0.9998233,0.999954,0.99996984,0.0019892703,0.99998975
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,1,True,115,0.9999801,0.99998355,0.9999711,0.9999775,0.9999869,0.99998784,0.9999255,0.9999896
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,2,False,671,0.9999215,0.99996245,0.9998481,0.99992555,0.99997723,0.99998295,0.9981761,0.9999901
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,2,True,6,0.999988,0.99998885,0.9999862,0.99998826,0.9999889,0.999989,0.99998426,0.99998903
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,3,False,8,0.9999869,0.99998796,0.9999837,0.99998665,0.99998856,0.999989,0.9999796,0.99998987
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,4,True,3,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,0,False,212106,0.9928553,0.99977094,0.9982672,0.99940026,0.9998956,0.999941,0.0011103082,0.9999876
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,0,True,458,0.9936558,0.9999745,0.9999341,0.99995863,0.9999816,0.99998486,0.024845205,0.9999888
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,1,False,73161,0.9903005,0.9998635,0.99916995,0.999676,0.99993145,0.99995816,0.0025705036,0.9999889
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,1,True,67,0.99997085,0.99997914,0.9999541,0.9999688,0.999984,0.9999852,0.9997181,0.9999875
