model,checkpoint_path,checkpoint_step,benchmark,pair_scope,variant,config_index,n_configs,field_types,manifest_field_types,candidate_pairs,error,roc_auc,pr_auc,oracle_pair_f1,oracle_pair_threshold
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,69,135,title:identifier; authors:identifier; venue:identifier; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.9852609659318636,0.18433507912757816,0.26172465960665653,0.9999873638153076
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,70,135,title:identifier; authors:identifier; venue:identifier; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.9988863767535071,0.7484993307674604,0.7051039697542533,0.9998493194580078
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,71,135,title:identifier; authors:identifier; venue:categorical; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.816847130260521,0.004973945031839111,0.01363618654303191,0.18034665286540985
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,72,135,title:identifier; authors:identifier; venue:categorical; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.816847130260521,0.004973945031839111,0.01363618654303191,0.18034665286540985
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,73,135,title:identifier; authors:identifier; venue:categorical; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.9576162324649299,0.02515215764802609,0.05965632767751,0.9858933687210083
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,74,135,title:identifier; authors:identifier; venue:categorical; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.7003467615230461,0.003290578705515122,0.009543595403492826,0.9888705611228943
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,75,135,title:identifier; authors:identifier; venue:categorical; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.948949114228457,0.01981336046516679,0.044989115536563734,0.9660588502883911
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,76,135,title:identifier; authors:categorical; venue:text; year:text,title:text; authors:text; venue:text; year:categorical,250000,,0.7011906693386774,0.2594102188655329,0.34492350486787204,0.9998993873596191
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,77,135,title:identifier; authors:categorical; venue:text; year:identifier,title:text; authors:text; venue:text; year:categorical,250000,,0.7011906693386774,0.2594102188655329,0.34492350486787204,0.9998993873596191
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,78,135,title:identifier; authors:categorical; venue:text; year:categorical,title:text; authors:text; venue:text; year:categorical,250000,,0.8920935751503005,0.2654300058482502,0.3401162790697675,0.9999531507492065
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,79,135,title:identifier; authors:categorical; venue:text; year:numeric,title:text; authors:text; venue:text; year:categorical,250000,,0.8097260921843688,0.11335982110434514,0.2202304737516005,0.9999840259552002
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,dblp_acm,cross_source,exhaustive,80,135,title:identifier; authors:categorical; venue:text; year:date,title:text; authors:text; venue:text; year:categorical,250000,,0.8349035631262525,0.27520888295796714,0.3541364296081277,0.9999473094940186
